UNITID,EFLEVEL,EFTOTAL,EFMEN,EFWOM,EFFT,EFFTMEN,EFFTWOM,EFPT,EFPTMEN,EFPTWOM
109350,10,12937,5630,7307,3909,1755,2154,9028,3875,5153
109651,10,2382,981,1401,2105,842,1263,277,139,138
109721,10,159,50,109,159,50,109,,,
109730,10,77,38,39,77,38,39,,,
109785,10,6487,1898,4589,4346,1320,3026,2141,578,1563
109819,10,30410,13550,16860,7565,3294,4271,22845,10256,12589
109907,10,3153,1123,2030,1146,390,756,2007,733,1274
109934,10,379,56,323,379,56,323,,,
110060,10,271,182,89,232,156,76,39,26,13
110097,10,5296,2421,2875,3905,1658,2247,1391,763,628
110194,10,284,281,3,284,281,3,,,
110219,10,2108,286,1822,2108,286,1822,,,
110246,10,10211,4486,5725,4591,2117,2474,5620,2369,3251
110316,10,2047,387,1660,1636,315,1321,411,72,339
110334,10,9274,4032,5242,2023,940,1083,7251,3092,4159
110361,10,11407,3942,7465,9472,3309,6163,1935,633,1302
110370,10,1333,429,904,1238,392,846,95,37,58
110398,10,1216,494,722,1163,474,689,53,20,33
110404,10,2463,1505,958,2463,1505,958,,,
110413,10,3413,1449,1964,3191,1370,1821,222,79,143
110422,10,22485,11224,11261,21324,10552,10772,1161,672,489
110468,10,4147,1030,3117,1915,353,1562,2232,677,1555
110486,10,9787,3313,6474,7836,2636,5200,1951,677,1274
110495,10,9841,3250,6591,7728,2540,5188,2113,710,1403
110510,10,18925,7304,11621,14654,5567,9087,4271,1737,2534
110529,10,26848,14743,12105,22047,12009,10038,4801,2734,2067
110538,10,14523,6313,8210,12613,5492,7121,1910,821,1089
110547,10,15181,5918,9263,10926,4329,6597,4255,1589,2666
110556,10,23986,9791,14195,19549,7837,11712,4437,1954,2483
110565,10,41962,17822,24140,31948,13407,18541,10014,4415,5599
110574,10,13333,5410,7923,9874,4040,5834,3459,1370,2089
110583,10,40278,16557,23721,32749,13335,19414,7529,3222,4307
110592,10,25080,10654,14426,20113,8441,11672,4967,2213,2754
110608,10,37760,17140,20620,29393,13331,16062,8367,3809,4558
110617,10,31172,13562,17610,23988,10186,13802,7184,3376,3808
110635,10,45699,21030,24669,41572,18777,22795,4127,2253,1874
110644,10,39707,16423,23284,38184,15729,22455,1523,694,829
110653,10,36582,16525,20057,35511,15984,19527,1071,541,530
110662,10,46678,19754,26924,44730,18605,26125,1948,1149,799
110671,10,26426,13274,13152,25452,12705,12747,974,569,405
110680,10,42376,20450,21926,40716,19472,21244,1660,978,682
110699,10,3126,1123,2003,3126,1123,2003,,,
110705,10,26068,11441,14627,25275,11052,14223,793,389,404
110714,10,19764,9662,10102,19120,9295,9825,644,367,277
110778,10,1037,307,730,839,240,599,198,67,131
110875,10,73,0,73,73,0,73,,,
111045,10,95,36,59,90,34,56,5,2,3
111054,10,125,28,97,125,28,97,,,
111081,10,1353,528,825,1334,518,816,19,10,9
111188,10,805,655,150,726,587,139,79,68,11
111391,10,625,239,386,542,202,340,83,37,46
111434,10,6141,2525,3616,825,403,422,5316,2122,3194
111461,10,17439,9538,7901,5131,2556,2575,12308,6982,5326
111513,10,207,3,204,151,2,149,56,1,55
111638,10,581,196,385,581,196,385,,,
111708,10,225,200,25,225,200,25,,,
111717,10,175,146,29,175,146,29,,,
111726,10,167,135,32,167,135,32,,,
111744,10,191,178,13,191,178,13,,,
111762,10,149,94,55,149,94,55,,,
111799,10,187,30,157,187,30,157,,,
111887,10,21046,9630,11416,8589,3893,4696,12457,5737,6720
111896,10,5690,2374,3316,878,363,515,4812,2011,2801
111920,10,12218,6232,5986,3337,1644,1693,8881,4588,4293
111939,10,20632,8204,12428,5973,2660,3313,14659,5544,9115
111948,10,9961,3870,6091,9023,3475,5548,938,395,543
111966,10,763,257,506,658,227,431,105,30,75
112075,10,3481,1312,2169,2903,1045,1858,578,267,311
112084,10,102,51,51,75,37,38,27,14,13
