,SUMLEV,COUNTY,NAME,POPESTIMATE2024
301,162,0,Oroville city,19712
302,162,0,Oxnard city,200616
303,162,0,Pacifica city,37056
304,162,0,Pacific Grove city,14851
305,162,0,Palmdale city,162536
306,162,0,Palm Desert city,53147
307,162,0,Palm Springs city,45453
308,162,0,Palo Alto city,67658
309,162,0,Palos Verdes Estates city,12668
310,162,0,Paradise town,9114
311,162,0,Paramount city,51169
312,162,0,Parlier city,14429
313,162,0,Pasadena city,137195
314,162,0,Patterson city,25495
315,162,0,Perris city,83032
316,162,0,Petaluma city,59393
317,162,0,Pico Rivera city,59363
318,162,0,Piedmont city,10816
319,162,0,Pinole city,18663
320,162,0,Pismo Beach city,7984
321,162,0,Pittsburg city,77131
322,162,0,Placentia city,53395
323,162,0,Placerville city,10695
324,162,0,Pleasant Hill city,34169
325,162,0,Pleasanton city,75664
326,162,0,Plymouth city,1137
327,162,0,Point Arena city,449
328,162,0,Pomona city,147966
329,162,0,Porterville city,63517
330,162,0,Port Hueneme city,21325
331,162,0,Portola city,2086
332,162,0,Portola Valley town,4282
333,162,0,Poway city,49435
334,162,0,Rancho Cordova city,84113
335,162,0,Rancho Cucamonga city,176675
336,162,0,Rancho Mirage city,18001
337,162,0,Rancho Palos Verdes city,40064
338,162,0,Rancho Santa Margarita city,46353
339,162,0,Red Bluff city,14286
340,162,0,Redding city,93502
341,162,0,Redlands city,74279
342,162,0,Redondo Beach city,68075
343,162,0,Redwood City city,82982
344,162,0,Reedley city,26138
345,162,0,Rialto city,104918
346,162,0,Richmond city,115353
347,162,0,Ridgecrest city,28373
348,162,0,Rio Dell city,3259
349,162,0,Rio Vista city,10248
350,162,0,Ripon city,16252
351,162,0,Riverbank city,25625
352,162,0,Riverside city,323757
353,162,0,Rocklin city,75129
354,162,0,Rohnert Park city,44894
355,162,0,Rolling Hills city,1645
356,162,0,Rolling Hills Estates city,8007
357,162,0,Rosemead city,49582
358,162,0,Roseville city,163304
359,162,0,Ross town,2297
360,162,0,Sacramento city,535798
361,162,0,St. Helena city,5257
362,162,0,Salinas city,160783
363,162,0,San Anselmo town,12645
364,162,0,San Bernardino city,224775
365,162,0,San Bruno city,42035
366,162,0,San Buenaventura (Ventura) city,109831
367,162,0,San Carlos city,29403
368,162,0,San Clemente city,62627
369,162,0,Sand City city,328
370,162,0,San Diego city,1404452
371,162,0,San Dimas city,33226
372,162,0,San Fernando city,23488
373,162,0,San Francisco city,827526
374,162,0,San Gabriel city,37926
375,162,0,Sanger city,26649
376,162,0,San Jacinto city,55515
377,162,0,San Joaquin city,3679
378,162,0,San Jose city,997368
379,162,0,San Juan Bautista city,2118
380,162,0,San Juan Capistrano city,35469
381,162,0,San Leandro city,86571
382,162,0,San Luis Obispo city,49729
383,162,0,San Marcos city,96620
