,UNITID,EFLEVEL,EFTOTAL
817,143288,10,389
818,143297,10,195
819,143358,10,5217
820,143376,10,253
821,143464,10,87
822,143473,10,43
823,143482,10,8
824,143491,10,60
825,143552,10,32
826,143613,10,1688
827,143659,10,198
828,143853,10,2671
829,143978,10,1243
830,144005,10,2324
831,144014,10,202
832,144050,10,18339
833,144157,10,2780
834,144166,10,8011
835,144175,10,2747
836,144184,10,6185
837,144193,10,5836
838,144209,10,5859
839,144218,10,7789
840,144281,10,6529
841,144351,10,5066
842,144564,10,2149
843,144573,10,171
844,144740,10,21348
845,144795,10,377
846,144865,10,23216
847,144883,10,528
848,144892,10,8804
849,144944,10,9614
850,144962,10,3906
851,144971,10,527
852,145099,10,274
853,145239,10,239
854,145275,10,299
855,145309,10,42
856,145336,10,4337
857,145354,10,36
858,145372,10,1053
859,145406,10,494
860,145424,10,65
861,145433,10,121
862,145497,10,197
863,145521,10,1369
864,145558,10,1949
865,145600,10,33522
866,145619,10,2989
867,145628,10,483
868,145637,10,56563
869,145646,10,1576
870,145682,10,7578
871,145691,10,958
872,145707,10,880
873,145725,10,8563
874,145813,10,20989
875,145831,10,2594
876,145886,10,120
877,146205,10,3120
878,146278,10,1866
879,146296,10,9863
880,146339,10,1058
881,146348,10,2404
882,146366,10,3447
883,146418,10,2807
884,146427,10,1001
885,146454,10,60
886,146472,10,12290
887,146481,10,1818
888,146490,10,275
889,146506,10,3699
890,146533,10,81
891,146603,10,4196
892,146612,10,6636
893,146667,10,185
894,146685,10,5238
895,146700,10,1345
896,146719,10,17397
897,146728,10,114
898,146755,10,76
899,146807,10,68
900,146816,10,317
901,146977,10,133
902,147004,10,9051
903,147013,10,2075
904,147031,10,69
905,147129,10,391
906,147244,10,1659
907,147341,10,727
908,147369,10,2216
909,147378,10,11144
910,147396,10,54
911,147411,10,3653
912,147536,10,8270
913,147590,10,513
914,147642,10,55
915,147660,10,2856
916,147679,10,2624
917,147697,10,6
918,147703,10,15504
919,147767,10,23203
920,147776,10,5504
921,147800,10,7032
922,147819,10,67
923,147828,10,3275
924,147916,10,6018
925,148007,10,3045
926,148016,10,338
927,148098,10,58
928,148131,10,1280
929,148256,10,1871
930,148292,10,2214
931,148380,10,5480
932,148405,10,1249
933,148487,10,4015
934,148496,10,3424
935,148511,10,2782
936,148575,10,523
937,148584,10,3185
938,148593,10,93
939,148627,10,3457
940,148654,10,4661
941,148672,10,1433
942,148821,10,1142
943,148876,10,774
944,148885,10,203
945,148937,10,1392
946,148955,10,2
947,148982,10,97
948,148991,10,1225
949,149028,10,228
950,149204,10,57
