yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
9852024,985,2024,CA0049700,CA0049700,,N,N,,I,CA ST UN: CHICO,CSU CHICO POLICE DEPARTMENT,California State University:,Chico,A,6,California,CA,CA,9,Pacific,4,West,Region IV,University or College,0,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,15,3,18,3,7,10,0,0,2021-01-01,2022-05-01,2022-07-01,2022-07-01,2022-07-01,2022-07-01,N,BUTTE,"Chico, CA",Y,Y,Y
9882024,988,2024,CA0050000,CA0050000,,N,N,,I,CALAVERAS,CALAVERAS CO SO SAN ANDREAS,Calaveras,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,County,43971,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,55,19,74,6,35,41,1.4,2.6,2021-01-01,2021-12-01,2022-07-01,2022-07-01,2022-07-01,2022-07-01,N,CALAVERAS,Not Specified,Y,Y,Y
9892024,989,2024,CA0050100,CA0050100,,N,N,,I,ANGELS CAMP,ANGELS POLICE DEPARTMENT,Angels Camp,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,3781,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,0,6,1,2,3,1.9,2.4,2021-01-01,2023-09-01,2023-09-01,2023-09-01,2023-09-01,2023-09-01,N,CALAVERAS,Not Specified,Y,Y,Y
9912024,991,2024,CA0050300,CA0050300,,N,N,,I,CSP: CENTRAL VALLEY ,DEPT OF PARKS & REC CALAVERAS ARNOLD,California State Parks:,Central Valley,A,6,California,CA,CA,9,Pacific,4,West,Region IV,Other State Agency,0,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,2021-01-01,2021-02-01,2021-02-01,2021-02-01,2021-02-01,2021-02-01,N,CALAVERAS,Not Specified,Y,Y,Y
9932024,993,2024,CA0060000,CA0060000,,N,N,,I,COLUSA,COLUSA CO SO COLUSA,Colusa,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,County,10250,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,32,1,33,10,18,28,4.1,6.0,2021-01-01,2022-12-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,COLUSA,Not Specified,Y,Y,Y
9942024,994,2024,CA0060100,CA0060100,,N,N,,I,COLUSA,COLUSA PD,Colusa,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,6566,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,4,0,4,1,1,2,0.8,0.9,2021-01-01,2022-11-01,2023-02-01,2023-02-01,2023-02-01,2023-02-01,N,COLUSA,Not Specified,Y,Y,Y
9952024,995,2024,CA0060200,CA0060200,,N,N,,I,WILLIAMS,WILLIAMS PD,Williams,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,5642,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,11,0,11,0,2,2,1.9,2.3,2021-01-01,2021-10-01,2022-07-01,2022-07-01,2022-07-01,2022-07-01,N,COLUSA,Not Specified,Y,Y,Y
9992024,999,2024,CA0070000,CA0070000,,N,N,,I,CONTRA COSTA,CONTRA COSTA CO SO MARTINEZ,Contra Costa,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,County,186421,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,547,97,644,96,205,301,3.4,5.1,2021-01-01,2022-06-01,2022-06-01,2022-06-01,2022-06-01,2022-06-01,N,CONTRA COSTA,"San Francisco-Oakland-Fremont, CA",Y,Y,Y
10002024,1000,2024,CA0070100,CA0070100,,N,N,,I,ANTIOCH,ANTIOCH PD,Antioch,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,117675,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,75,10,85,5,28,33,0.7,1.0,2021-01-01,2021-12-01,2022-07-01,2022-07-01,2022-07-01,2022-07-01,N,CONTRA COSTA,"San Francisco-Oakland-Fremont, CA",Y,Y,Y
10012024,1001,2024,CA0070200,CA0070200,,N,N,,I,BRENTWOOD,BRENTWOOD PD,Brentwood,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,65352,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,55,6,61,11,23,34,1.0,1.5,2021-01-01,2023-02-01,2023-02-01,2023-02-01,2023-02-01,2023-02-01,N,CONTRA COSTA,"San Francisco-Oakland-Fremont, CA",Y,Y,Y
